pl_name,hip_name,sy_pnum
GJ 9827 c,HIP 115752,3
GJ 9827 c,HIP 115752,3
GJ 9827 c,HIP 115752,3
GJ 9827 d,HIP 115752,3
GJ 9827 d,HIP 115752,3
GJ 9827 d,HIP 115752,3
GJ 9827 d,HIP 115752,3
GJ 9827 d,HIP 115752,3
GJ 9827 d,HIP 115752,3
GPX-1 b,,1
GPX-1 b,,1
GQ Lup b,,1
GQ Lup b,,1
GSC 06214-00210 b,,1
GSC 06214-00210 b,,1
GSC 06214-00210 b,,1
GSC 06214-00210 b,,1
GU Psc b,,1
Gaia-1 b,,1
Gaia-2 b,,1
Gaia-2 b,,1
Gl 378 b,HIP 49189,1
Gl 49 b,HIP 4872,1
Gl 686 b,HIP 86287,1
Gl 686 b,HIP 86287,1
Gl 686 b,HIP 86287,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-1 b,,1
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 b,HIP 97657,2
HAT-P-11 c,HIP 97657,2
HAT-P-11 c,HIP 97657,2
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-12 b,,1
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 b,,2
HAT-P-13 c,,2
HAT-P-13 c,,2
HAT-P-13 c,,2
HAT-P-13 c,,2
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-14 b,,1
HAT-P-15 b,,1
HAT-P-15 b,,1
HAT-P-15 b,,1
HAT-P-15 b,,1
HAT-P-15 b,,1
